node,x,y,demand
0,53.0,55.0,0
1,1.0,90.0,9
2,94.0,85.0,10
3,13.0,19.0,14
4,97.0,45.0,5
5,78.0,69.0,8
6,92.0,35.0,10
7,98.0,36.0,15
8,99.0,0.0,16
9,2.0,94.0,23
10,85.0,77.0,4
11,94.0,42.0,22
12,101.0,3.0,16
13,103.0,51.0,12
14,106.0,38.0,20
15,9.0,95.0,18
16,88.0,71.0,9
17,83.0,77.0,17
18,100.0,55.0,42
19,17.0,23.0,9
20,3.0,91.0,17
21,6.0,91.0,7
22,9.0,102.0,4
23,9.0,95.0,7
24,8.0,104.0,13
25,9.0,99.0,6
26,98.0,39.0,22
27,101.0,8.0,6
28,99.0,38.0,13
29,103.0,54.0,21
30,3.0,103.0,16
31,101.0,7.0,20
32,103.0,8.0,11
33,20.0,25.0,18
34,97.0,93.0,24
35,0.0,51.0,26
36,81.0,70.0,9
37,103.0,7.0,21
38,95.0,87.0,3
39,102.0,54.0,22
40,83.0,72.0,7
41,101.0,10.0,10
42,105.0,48.0,17
43,96.0,40.0,8
44,5.0,91.0,10
45,9.0,96.0,12
46,10.0,100.0,10
47,9.0,96.0,24
48,22.0,21.0,5
49,2.0,95.0,10
50,9.0,95.0,6
