node,x,y,demand
0,46.0,12.0,0
1,51.0,4.0,14
2,52.0,30.0,17
3,80.0,70.0,17
4,18.0,90.0,16
5,59.0,39.0,19
6,23.0,59.0,17
7,77.0,48.0,5
8,82.0,30.0,12
9,18.0,82.0,4
10,11.0,41.0,2
11,7.0,9.0,2
12,88.0,33.0,26
13,23.0,88.0,2
14,0.0,76.0,7
15,85.0,34.0,18
16,17.0,46.0,6
17,52.0,10.0,6
18,13.0,45.0,18
19,19.0,85.0,2
20,86.0,77.0,14
21,54.0,6.0,5
22,83.0,32.0,9
23,15.0,10.0,4
24,53.0,5.0,3
25,14.0,42.0,15
26,13.0,10.0,4
27,57.0,32.0,23
28,20.0,85.0,7
29,65.0,46.0,21
30,61.0,42.0,4
31,87.0,52.0,1
32,79.0,51.0,6
33,25.0,91.0,16
34,89.0,34.0,4
35,26.0,100.0,20
36,0.0,88.0,5
37,63.0,43.0,14
38,55.0,10.0,14
39,23.0,86.0,26
40,8.0,18.0,5
41,0.0,74.0,2
42,20.0,44.0,14
43,56.0,7.0,11
44,14.0,10.0,21
45,88.0,40.0,20
46,96.0,38.0,18
47,59.0,31.0,2
48,22.0,87.0,19
49,59.0,36.0,12
50,24.0,83.0,22
51,83.0,37.0,14
52,53.0,5.0,23
53,0.0,37.0,25
54,84.0,78.0,8
55,27.0,93.0,3
56,61.0,12.0,9
57,69.0,43.0,21
58,54.0,9.0,3
59,20.0,98.0,22
60,18.0,50.0,6
61,25.0,84.0,2
62,31.0,69.0,22
63,58.0,36.0,20
64,0.0,11.0,5
65,61.0,36.0,13
66,18.0,49.0,6
67,57.0,8.0,14
68,0.0,49.0,16
69,56.0,8.0,12
70,62.0,45.0,23
71,83.0,32.0,5
72,53.0,10.0,12
73,82.0,53.0,15
74,21.0,85.0,21
75,64.0,41.0,4
76,80.0,50.0,23
77,16.0,10.0,19
