node,x,y,demand
0,59.0,73.0,0
1,79.0,65.0,24
2,73.0,27.0,15
3,41.0,81.0,2
4,11.0,93.0,3
5,13.0,89.0,24
6,11.0,15.0,17
7,71.0,81.0,9
8,77.0,89.0,4
9,41.0,87.0,2
10,44.0,94.0,15
11,51.0,101.0,20
12,42.0,92.0,17
13,58.0,104.0,15
14,14.0,94.0,20
15,18.0,90.0,8
16,60.0,102.0,6
17,72.0,86.0,2
18,45.0,95.0,6
19,20.0,90.0,18
20,74.0,32.0,5
21,78.0,90.0,16
22,18.0,98.0,2
23,78.0,36.0,18
24,16.0,90.0,1
25,78.0,36.0,13
26,80.0,74.0,17
27,78.0,92.0,5
28,52.0,108.0,14
29,49.0,97.0,19
30,72.0,82.0,3
31,72.0,88.0,22
32,42.0,82.0,6
33,50.0,92.0,9
34,82.0,94.0,22
35,16.0,94.0,6
36,18.0,94.0,18
37,42.0,88.0,23
38,78.0,94.0,24
39,80.0,32.0,4
40,84.0,96.0,20
41,76.0,82.0,16
42,78.0,30.0,15
43,88.0,68.0,24
44,18.0,20.0,16
45,18.0,20.0,9
46,74.0,82.0,4
47,47.0,95.0,11
48,18.0,94.0,3
49,86.0,68.0,54
50,45.0,95.0,36
51,14.0,102.0,19
52,82.0,66.0,11
53,14.0,16.0,21
54,76.0,86.0,12
55,18.0,102.0,9
56,58.0,106.0,17
57,76.0,34.0,16
58,18.0,18.0,14
59,14.0,96.0,14
60,18.0,94.0,21
61,46.0,96.0,19
62,82.0,70.0,6
63,76.0,28.0,17
