node,x,y,demand
0,74.0,34.0,0
1,9.0,22.0,25
2,13.0,28.0,19
3,47.0,63.0,8
4,74.0,43.0,10
5,71.0,10.0,1
6,11.0,61.0,14
7,23.0,33.0,11
8,14.0,29.0,20
9,31.0,34.0,23
10,22.0,29.0,3
11,50.0,66.0,4
12,16.0,30.0,6
13,48.0,70.0,23
14,16.0,0.0,7
15,18.0,33.0,15
16,20.0,34.0,13
17,26.0,36.0,3
18,49.0,0.0,11
19,19.0,0.0,24
20,80.0,17.0,8
21,75.0,13.0,14
22,18.0,68.0,8
23,10.0,27.0,9
24,12.0,66.0,24
25,80.0,50.0,10
26,29.0,43.0,19
27,79.0,48.0,10
28,14.0,0.0,5
29,76.0,51.0,7
30,54.0,68.0,23
31,17.0,30.0,11
32,78.0,50.0,12
33,72.0,19.0,4
34,23.0,37.0,11
35,78.0,45.0,16
36,14.0,34.0,22
37,0.0,15.0,24
38,16.0,31.0,12
39,24.0,37.0,5
40,84.0,47.0,11
41,80.0,44.0,7
42,24.0,41.0,9
