node,x,y,demand
0,87.0,45.0,0
1,93.0,41.0,10
2,75.0,95.0,15
3,89.0,55.0,7
4,89.0,19.0,25
5,21.0,9.0,16
6,81.0,31.0,8
7,79.0,25.0,15
8,30.0,18.0,23
9,5.0,5.0,8
10,31.0,21.0,2
11,84.0,98.0,14
12,10.0,8.0,7
13,90.0,58.0,15
14,24.0,16.0,14
15,80.0,26.0,7
16,96.0,42.0,14
17,28.0,18.0,11
18,37.0,23.0,7
19,39.0,27.0,6
20,78.0,104.0,1
21,98.0,26.0,22
22,8.0,12.0,26
23,10.0,12.0,5
24,82.0,30.0,18
25,82.0,38.0,18
26,94.0,24.0,4
27,94.0,44.0,10
28,30.0,16.0,3
29,84.0,28.0,2
30,76.0,96.0,12
31,76.0,102.0,6
32,98.0,58.0,15
33,90.0,64.0,12
34,76.0,96.0,5
35,100.0,44.0,7
36,94.0,56.0,12
37,84.0,26.0,24
38,6.0,12.0,6
39,90.0,24.0,12
40,26.0,12.0,5
41,84.0,30.0,18
42,86.0,28.0,3
43,31.0,27.0,7
44,24.0,16.0,15
45,84.0,30.0,23
46,33.0,19.0,20
47,90.0,28.0,5
48,94.0,50.0,24
49,92.0,60.0,6
50,8.0,12.0,19
51,24.0,16.0,5
52,94.0,42.0,10
53,82.0,32.0,3
54,76.0,96.0,4
55,80.0,100.0,5
