node,x,y,demand
0,49.0,64.0,0
1,60.0,38.0,21
2,38.0,21.0,13
3,98.0,27.0,24
4,69.0,60.0,10
5,59.0,40.0,22
6,82.0,28.0,16
7,86.0,36.0,9
8,76.0,65.0,9
9,102.0,29.0,18
10,43.0,26.0,15
11,45.0,28.0,3
12,76.0,68.0,7
13,64.0,45.0,14
14,0.0,44.0,22
15,89.0,31.0,10
16,60.0,44.0,13
17,0.0,44.0,3
18,84.0,29.0,4
19,83.0,66.0,14
20,86.0,36.0,2
21,103.0,32.0,16
22,76.0,65.0,10
23,86.0,74.0,5
24,0.0,48.0,11
25,66.0,41.0,19
26,67.0,40.0,14
27,77.0,61.0,18
28,78.0,66.0,12
29,66.0,46.0,21
30,61.0,41.0,21
31,105.0,31.0,24
32,78.0,68.0,6
33,91.0,37.0,7
34,83.0,29.0,13
35,91.0,45.0,15
36,42.0,25.0,5
37,83.0,69.0,10
38,101.0,36.0,19
39,74.0,65.0,6
40,93.0,37.0,21
41,107.0,34.0,19
42,63.0,40.0,17
43,61.0,47.0,26
44,90.0,43.0,8
