node,x,y,demand
0,49.0,53.0,0
1,59.0,1.0,21
2,17.0,83.0,8
3,85.0,57.0,11
4,47.0,21.0,7
5,1.0,21.0,21
6,25.0,69.0,5
7,75.0,63.0,13
8,3.0,7.0,10
9,56.0,26.0,9
10,86.0,58.0,20
11,8.0,8.0,7
12,59.0,27.0,12
13,64.0,2.0,23
14,86.0,64.0,2
15,28.0,72.0,4
16,88.0,58.0,14
17,18.0,90.0,12
18,82.0,64.0,3
19,22.0,92.0,5
20,6.0,10.0,13
21,10.0,24.0,5
22,59.0,29.0,12
23,52.0,24.0,2
24,94.0,62.0,3
25,76.0,68.0,18
26,66.0,2.0,24
27,90.0,58.0,4
28,20.0,84.0,63
29,50.0,22.0,19
30,76.0,64.0,2
31,63.0,33.0,9
32,20.0,84.0,4
33,59.0,31.0,9
34,32.0,74.0,23
35,48.0,24.0,6
36,2.0,30.0,3
37,10.0,8.0,12
38,57.0,27.0,7
39,68.0,6.0,17
40,28.0,74.0,22
41,63.0,35.0,26
42,86.0,58.0,14
43,90.0,62.0,9
44,22.0,90.0,2
45,6.0,28.0,16
46,62.0,8.0,24
47,59.0,35.0,4
48,18.0,88.0,19
49,30.0,76.0,11
