node,x,y,demand
0,58.0,90.0,0
1,5.0,66.0,12
2,34.0,98.0,12
3,93.0,17.0,10
4,23.0,67.0,2
5,71.0,91.0,23
6,20.0,39.0,15
7,20.0,86.0,16
8,7.0,99.0,26
9,72.0,78.0,12
10,27.0,90.0,12
11,14.0,72.0,26
12,72.0,101.0,10
13,72.0,96.0,22
14,19.0,73.0,4
15,76.0,95.0,16
16,30.0,92.0,8
17,30.0,87.0,23
18,40.0,104.0,2
19,7.0,73.0,24
20,7.0,76.0,12
21,79.0,86.0,24
22,82.0,105.0,4
23,12.0,104.0,19
24,21.0,93.0,21
25,77.0,85.0,7
26,37.0,101.0,15
27,28.0,91.0,14
28,72.0,95.0,18
29,22.0,92.0,7
30,98.0,18.0,20
31,42.0,107.0,18
32,16.0,101.0,2
33,41.0,100.0,21
34,23.0,41.0,21
35,8.0,70.0,3
36,22.0,45.0,5
37,15.0,103.0,20
38,27.0,88.0,16
39,25.0,47.0,25
40,26.0,42.0,3
41,29.0,93.0,10
42,25.0,45.0,18
43,29.0,91.0,4
44,26.0,44.0,14
45,78.0,109.0,6
46,27.0,69.0,13
47,40.0,99.0,25
48,74.0,81.0,17
49,8.0,69.0,15
50,18.0,74.0,19
51,24.0,96.0,21
52,82.0,107.0,15
53,27.0,46.0,25
54,81.0,95.0,7
55,79.0,95.0,4
56,76.0,95.0,16
57,97.0,19.0,24
58,74.0,98.0,16
59,21.0,94.0,10
60,40.0,0.0,15
61,100.0,23.0,14
62,99.0,24.0,14
63,73.0,85.0,2
64,26.0,40.0,1
65,16.0,103.0,9
66,33.0,94.0,3
