node,x,y,demand
0,37.0,21.0,0
1,77.0,57.0,14
2,97.0,79.0,16
3,39.0,33.0,18
4,45.0,47.0,20
5,85.0,23.0,1
6,7.0,1.0,12
7,16.0,6.0,13
8,21.0,13.0,18
9,21.0,7.0,9
10,12.0,6.0,15
11,92.0,24.0,8
12,92.0,32.0,10
13,10.0,8.0,7
14,19.0,15.0,18
15,86.0,24.0,14
16,106.0,84.0,1
17,48.0,48.0,15
18,8.0,2.0,7
19,14.0,2.0,25
20,14.0,2.0,2
21,98.0,82.0,3
22,106.0,80.0,4
23,98.0,86.0,16
24,98.0,82.0,15
25,80.0,62.0,23
26,82.0,62.0,11
27,52.0,52.0,21
28,42.0,42.0,10
29,25.0,11.0,12
30,104.0,86.0,9
31,44.0,38.0,7
32,78.0,64.0,8
33,98.0,80.0,4
34,16.0,4.0,23
35,46.0,48.0,8
36,44.0,42.0,6
37,100.0,82.0,2
38,52.0,54.0,15
