node,x,y,demand
0,35.0,31.0,0
1,77.0,13.0,26
2,95.0,51.0,11
3,91.0,15.0,22
4,65.0,93.0,18
5,51.0,17.0,10
6,41.0,57.0,9
7,39.0,39.0,12
8,70.0,102.0,10
9,74.0,94.0,12
10,81.0,97.0,19
11,77.0,95.0,5
12,84.0,14.0,18
13,48.0,60.0,7
14,98.0,54.0,14
15,92.0,18.0,14
16,42.0,42.0,20
17,52.0,18.0,7
18,44.0,42.0,4
19,48.0,44.0,11
20,80.0,22.0,3
21,42.0,58.0,22
22,73.0,105.0,15
23,81.0,101.0,69
24,102.0,58.0,26
25,82.0,18.0,20
26,96.0,58.0,12
27,98.0,18.0,22
28,84.0,16.0,9
29,44.0,44.0,23
30,73.0,103.0,7
31,96.0,16.0,17
32,46.0,48.0,3
33,92.0,16.0,18
34,44.0,64.0,18
35,98.0,22.0,9
36,96.0,52.0,4
37,46.0,64.0,20
38,77.0,103.0,24
39,104.0,54.0,3
40,58.0,20.0,4
41,46.0,64.0,4
42,73.0,103.0,23
43,94.0,16.0,17
