node,x,y,demand
0,28.0,57.0,0
1,76.0,46.0,6
2,67.0,5.0,12
3,84.0,22.0,2
4,73.0,6.0,24
5,67.0,72.0,3
6,68.0,74.0,18
7,68.0,6.0,21
8,76.0,7.0,14
9,91.0,30.0,69
10,80.0,0.0,1
11,0.0,25.0,13
12,73.0,13.0,2
13,76.0,81.0,2
14,92.0,30.0,7
15,69.0,80.0,7
16,90.0,30.0,1
17,71.0,77.0,23
18,83.0,47.0,19
19,79.0,47.0,14
20,74.0,6.0,8
21,68.0,6.0,11
22,72.0,0.0,4
23,80.0,0.0,8
24,91.0,25.0,24
25,71.0,73.0,12
26,78.0,10.0,9
27,85.0,24.0,4
28,75.0,80.0,19
29,87.0,24.0,15
30,0.0,7.0,2
31,71.0,78.0,2
32,74.0,0.0,15
33,76.0,0.0,66
