node,x,y,demand
0,64.0,75.0,0
1,16.0,97.0,18
2,2.0,79.0,10
3,28.0,79.0,16
4,16.0,3.0,12
5,39.0,20.0,21
6,35.0,65.0,23
7,43.0,21.0,15
8,44.0,0.0,25
9,37.0,67.0,3
10,17.0,100.0,6
11,34.0,80.0,7
12,45.0,7.0,4
13,11.0,83.0,20
14,35.0,88.0,25
15,21.0,98.0,20
16,41.0,72.0,12
17,51.0,0.0,3
18,17.0,9.0,12
19,36.0,66.0,14
20,20.0,105.0,26
21,35.0,85.0,9
22,37.0,75.0,22
23,17.0,11.0,20
24,46.0,6.0,9
25,40.0,23.0,13
26,43.0,73.0,21
27,40.0,21.0,10
28,29.0,85.0,8
29,45.0,6.0,5
30,0.0,24.0,14
31,42.0,66.0,7
32,30.0,81.0,21
33,17.0,9.0,20
34,46.0,4.0,1
35,0.0,85.0,21
36,51.0,2.0,17
37,5.0,80.0,2
