node,x,y,demand
0,8.0,12.0,0
1,63.0,77.0,14
2,19.0,10.0,3
3,39.0,49.0,5
4,86.0,5.0,9
5,96.0,64.0,69
6,34.0,25.0,13
7,44.0,15.0,25
8,58.0,90.0,17
9,49.0,21.0,12
10,43.0,57.0,12
11,52.0,28.0,10
12,47.0,22.0,2
13,40.0,50.0,23
14,44.0,34.0,15
15,0.0,70.0,16
16,56.0,30.0,26
17,60.0,98.0,12
18,103.0,0.0,12
19,105.0,70.0,26
20,45.0,25.0,10
21,64.0,82.0,22
22,44.0,50.0,4
23,44.0,53.0,16
24,59.0,27.0,8
25,54.0,16.0,23
26,92.0,11.0,2
27,46.0,22.0,24
28,98.0,74.0,12
29,103.0,72.0,24
30,44.0,29.0,4
31,39.0,30.0,19
32,97.0,71.0,21
33,49.0,22.0,7
34,22.0,13.0,15
35,44.0,58.0,14
36,50.0,25.0,18
37,46.0,21.0,7
38,44.0,50.0,20
39,51.0,66.0,18
40,28.0,12.0,2
41,50.0,59.0,21
42,61.0,92.0,21
43,52.0,25.0,3
44,21.0,16.0,5
45,51.0,61.0,20
46,46.0,51.0,16
47,91.0,13.0,25
48,25.0,13.0,3
49,53.0,22.0,10
