node,x,y,demand
0,53.0,22.0,0
1,34.0,28.0,1
2,2.0,5.0,19
3,40.0,85.0,19
4,88.0,38.0,22
5,74.0,20.0,20
6,82.0,21.0,11
7,0.0,46.0,2
8,84.0,31.0,5
9,11.0,12.0,20
10,42.0,37.0,22
11,90.0,44.0,2
12,85.0,22.0,2
13,9.0,8.0,11
14,4.0,51.0,22
15,3.0,10.0,19
16,90.0,40.0,3
17,41.0,33.0,1
18,10.0,50.0,2
19,96.0,45.0,16
20,48.0,90.0,2
21,87.0,31.0,13
22,79.0,26.0,7
23,39.0,32.0,8
24,0.0,91.0,16
25,89.0,45.0,14
26,91.0,46.0,4
27,3.0,53.0,14
28,44.0,0.0,7
29,89.0,41.0,20
30,40.0,32.0,14
31,42.0,86.0,7
32,0.0,13.0,9
33,97.0,45.0,7
34,1.0,50.0,5
35,45.0,94.0,10
36,36.0,33.0,13
37,4.0,15.0,25
38,42.0,88.0,1
39,42.0,29.0,22
40,92.0,0.0,9
41,75.0,26.0,3
42,78.0,0.0,8
43,77.0,29.0,10
44,5.0,47.0,19
