node,x,y,demand
0,87.0,39.0,0
1,63.0,45.0,10
2,5.0,71.0,3
3,71.0,13.0,7
4,59.0,63.0,18
5,45.0,95.0,2
6,29.0,13.0,2
7,51.0,79.0,23
8,7.0,67.0,8
9,25.0,85.0,9
10,1.0,7.0,22
11,72.0,14.0,12
12,28.0,86.0,20
13,52.0,86.0,21
14,46.0,100.0,9
15,66.0,46.0,6
16,28.0,90.0,11
17,16.0,70.0,18
18,2.0,14.0,23
19,79.0,21.0,10
20,14.0,72.0,11
21,32.0,88.0,3
22,6.0,72.0,10
23,73.0,15.0,23
24,2.0,12.0,8
25,73.0,21.0,16
26,12.0,76.0,26
27,66.0,72.0,19
28,2.0,16.0,9
29,38.0,16.0,18
30,30.0,88.0,5
31,68.0,54.0,23
32,32.0,14.0,1
33,64.0,46.0,2
34,26.0,88.0,21
35,62.0,68.0,19
36,34.0,16.0,5
37,8.0,68.0,14
38,77.0,15.0,10
39,73.0,15.0,2
40,75.0,15.0,16
41,8.0,68.0,17
42,36.0,20.0,5
43,56.0,82.0,16
44,26.0,88.0,6
45,28.0,86.0,11
46,52.0,84.0,14
47,60.0,70.0,17
48,26.0,86.0,8
49,8.0,72.0,48
50,76.0,16.0,12
51,6.0,76.0,9
52,14.0,72.0,6
53,78.0,14.0,10
54,34.0,92.0,19
55,74.0,14.0,22
56,64.0,46.0,5
57,10.0,74.0,12
58,6.0,8.0,5
59,28.0,88.0,9
60,60.0,64.0,8
61,6.0,78.0,21
62,46.0,102.0,9
63,77.0,23.0,3
64,68.0,66.0,8
65,58.0,80.0,9
66,58.0,84.0,16
67,36.0,14.0,17
