node,x,y,demand
0,11.0,83.0,0
1,37.0,61.0,2
2,77.0,81.0,1
3,35.0,21.0,3
4,1.0,93.0,9
5,21.0,39.0,13
6,63.0,7.0,21
7,97.0,95.0,6
8,3.0,7.0,22
9,5.0,3.0,10
10,36.0,22.0,23
11,64.0,10.0,2
12,6.0,8.0,15
13,24.0,40.0,10
14,86.0,82.0,23
15,68.0,14.0,8
16,28.0,46.0,5
17,10.0,8.0,14
18,8.0,14.0,6
19,10.0,10.0,15
20,104.0,104.0,18
21,38.0,24.0,15
22,80.0,82.0,10
23,22.0,46.0,17
24,26.0,40.0,1
25,4.0,10.0,1
26,10.0,12.0,18
27,26.0,44.0,7
28,4.0,10.0,12
29,4.0,98.0,9
30,78.0,82.0,26
31,64.0,8.0,60
32,98.0,98.0,12
33,24.0,40.0,17
34,10.0,8.0,9
35,8.0,96.0,7
36,8.0,8.0,13
37,84.0,90.0,24
38,8.0,8.0,10
39,86.0,86.0,17
40,6.0,94.0,24
41,10.0,10.0,25
42,80.0,82.0,1
43,102.0,96.0,20
44,36.0,26.0,14
45,44.0,28.0,6
46,22.0,46.0,9
47,100.0,100.0,11
48,28.0,42.0,2
49,30.0,40.0,11
50,78.0,84.0,17
51,10.0,4.0,3
52,78.0,84.0,1
53,6.0,8.0,8
54,10.0,94.0,12
55,40.0,66.0,9
56,10.0,16.0,13
