node,x,y,demand
0,19.0,1.0,0
1,83.0,61.0,18
2,59.0,95.0,16
3,73.0,25.0,23
4,51.0,53.0,20
5,23.0,49.0,18
6,63.0,19.0,19
7,51.0,81.0,2
8,1.0,89.0,4
9,97.0,41.0,10
10,74.0,30.0,2
11,60.0,88.0,26
12,58.0,54.0,21
13,63.0,95.0,10
14,65.0,89.0,8
15,6.0,94.0,20
16,61.0,97.0,21
17,75.0,31.0,4
18,106.0,48.0,5
19,69.0,93.0,15
20,56.0,84.0,18
21,26.0,54.0,2
22,66.0,24.0,21
23,60.0,98.0,20
24,92.0,66.0,23
25,8.0,92.0,13
26,64.0,102.0,22
27,104.0,48.0,17
28,104.0,42.0,11
29,30.0,52.0,7
30,52.0,54.0,13
31,77.0,33.0,13
32,68.0,20.0,16
33,56.0,62.0,14
34,65.0,91.0,25
35,54.0,60.0,18
36,26.0,52.0,2
37,52.0,90.0,19
38,56.0,56.0,6
39,66.0,102.0,19
40,72.0,24.0,9
41,28.0,56.0,24
42,58.0,82.0,2
43,84.0,66.0,13
44,63.0,93.0,17
45,88.0,64.0,20
46,74.0,28.0,24
47,26.0,50.0,8
48,58.0,58.0,15
49,52.0,56.0,7
50,76.0,26.0,7
51,8.0,92.0,4
52,90.0,68.0,22
53,32.0,50.0,11
54,84.0,66.0,10
55,78.0,34.0,25
56,64.0,24.0,24
