node,x,y,demand
0,78.0,95.0,0
1,93.0,43.0,12
2,57.0,4.0,3
3,2.0,80.0,2
4,10.0,17.0,13
5,31.0,8.0,17
6,10.0,87.0,12
7,97.0,50.0,1
8,16.0,93.0,26
9,98.0,48.0,13
10,103.0,47.0,15
11,38.0,9.0,20
12,100.0,51.0,20
13,60.0,11.0,3
14,15.0,19.0,3
15,39.0,15.0,12
16,102.0,47.0,25
17,103.0,59.0,2
18,10.0,82.0,15
19,39.0,9.0,24
20,97.0,52.0,2
21,18.0,97.0,7
22,32.0,13.0,15
23,96.0,45.0,2
24,11.0,21.0,13
25,15.0,96.0,9
26,10.0,81.0,12
27,13.0,24.0,26
28,0.0,8.0,17
29,103.0,59.0,26
30,33.0,11.0,9
31,13.0,94.0,14
32,63.0,5.0,9
33,3.0,87.0,25
34,14.0,25.0,13
