node,x,y,demand
0,29.0,33.0,0
1,41.0,11.0,22
2,31.0,87.0,8
3,91.0,27.0,3
4,53.0,87.0,6
5,7.0,19.0,10
6,27.0,19.0,18
7,1.0,41.0,8
8,8.0,20.0,13
9,40.0,92.0,13
10,14.0,20.0,3
11,92.0,32.0,10
12,62.0,94.0,6
13,45.0,97.0,23
14,96.0,36.0,8
15,47.0,101.0,4
16,40.0,92.0,13
17,49.0,97.0,6
18,48.0,12.0,5
19,45.0,101.0,10
20,46.0,16.0,22
21,92.0,34.0,13
22,49.0,95.0,13
23,62.0,92.0,18
24,96.0,28.0,14
25,28.0,22.0,14
26,47.0,95.0,26
27,9.0,21.0,23
28,92.0,30.0,4
29,12.0,22.0,25
30,48.0,12.0,9
31,94.0,28.0,8
32,43.0,99.0,16
33,8.0,42.0,3
34,43.0,99.0,1
35,8.0,42.0,17
36,30.0,20.0,9
37,16.0,24.0,15
38,36.0,92.0,2
39,98.0,34.0,19
40,36.0,28.0,7
41,28.0,26.0,6
42,42.0,18.0,22
43,2.0,50.0,22
44,16.0,20.0,10
45,56.0,90.0,7
46,45.0,97.0,4
47,17.0,23.0,23
48,34.0,88.0,13
49,47.0,99.0,10
50,62.0,96.0,8
51,8.0,24.0,14
