node,x,y,demand
0,73.0,39.0,0
1,67.0,91.0,23
2,39.0,21.0,3
3,3.0,9.0,24
4,97.0,15.0,15
5,91.0,65.0,15
6,55.0,75.0,24
7,55.0,71.0,7
8,57.0,85.0,25
9,21.0,15.0,13
10,47.0,57.0,5
11,51.0,97.0,7
12,11.0,11.0,5
13,43.0,59.0,14
14,63.0,69.0,13
15,55.0,77.0,5
16,35.0,11.0,24
17,27.0,91.0,15
18,49.0,25.0,9
19,29.0,93.0,16
20,71.0,27.0,13
21,31.0,43.0,16
22,27.0,9.0,13
23,67.0,99.0,24
24,87.0,81.0,20
25,23.0,81.0,23
26,89.0,33.0,20
27,71.0,91.0,3
28,19.0,77.0,15
29,65.0,77.0,12
30,87.0,79.0,19
31,19.0,83.0,4
32,1.0,59.0,15
33,55.0,7.0,1
