node,x,y,demand
0,75.0,55.0,0
1,7.0,75.0,12
2,77.0,1.0,26
3,51.0,25.0,1
4,81.0,25.0,20
5,59.0,37.0,2
6,93.0,45.0,13
7,43.0,21.0,20
8,35.0,53.0,7
9,77.0,63.0,10
10,37.0,13.0,15
11,37.0,51.0,7
12,27.0,31.0,24
13,95.0,31.0,10
14,87.0,43.0,12
15,23.0,65.0,23
16,9.0,51.0,13
17,73.0,81.0,19
18,3.0,1.0,9
19,41.0,61.0,12
20,29.0,81.0,6
21,51.0,95.0,9
22,49.0,25.0,22
23,81.0,53.0,18
24,7.0,51.0,19
25,21.0,5.0,20
26,91.0,35.0,24
27,17.0,81.0,10
28,61.0,69.0,4
29,27.0,97.0,20
30,83.0,23.0,15
31,21.0,93.0,13
32,59.0,31.0,12
33,27.0,53.0,3
34,9.0,91.0,7
35,11.0,27.0,18
36,59.0,41.0,3
37,67.0,1.0,23
38,77.0,39.0,1
39,47.0,29.0,17
40,3.0,89.0,13
41,33.0,87.0,6
42,17.0,45.0,22
43,91.0,41.0,20
44,23.0,3.0,21
45,97.0,61.0,2
