node,x,y,demand
0,2.0,48.0,0
1,64.0,71.0,26
2,33.0,83.0,18
3,77.0,89.0,16
4,96.0,61.0,8
5,53.0,55.0,7
6,38.0,10.0,11
7,7.0,40.0,4
8,7.0,1.0,9
9,73.0,68.0,9
10,4.0,24.0,16
11,82.0,56.0,7
12,30.0,56.0,6
13,38.0,62.0,1
14,42.0,53.0,2
15,5.0,49.0,22
16,1.0,85.0,23
17,94.0,4.0,4
18,50.0,70.0,3
19,35.0,69.0,20
20,14.0,41.0,7
21,94.0,73.0,1
22,23.0,96.0,2
23,96.0,88.0,12
24,74.0,94.0,22
25,68.0,52.0,6
26,73.0,22.0,11
27,92.0,96.0,12
28,4.0,48.0,2
29,24.0,10.0,14
30,52.0,72.0,14
31,61.0,46.0,2
32,38.0,9.0,9
33,90.0,15.0,20
34,58.0,41.0,2
35,93.0,41.0,18
36,8.0,74.0,19
37,13.0,87.0,18
38,34.0,68.0,4
39,84.0,97.0,16
40,35.0,20.0,26
41,96.0,79.0,3
42,73.0,87.0,23
43,21.0,1.0,16
44,28.0,93.0,10
45,55.0,94.0,9
46,56.0,84.0,21
47,68.0,99.0,24
48,30.0,53.0,24
49,85.0,49.0,19
50,85.0,2.0,12
51,0.0,30.0,16
52,12.0,71.0,6
53,26.0,55.0,2
54,72.0,75.0,2
55,71.0,21.0,2
56,33.0,49.0,23
57,51.0,2.0,16
58,93.0,7.0,26
59,70.0,22.0,21
60,54.0,53.0,2
61,26.0,17.0,7
