node,x,y,demand
0,61.0,99.0,0
1,95.0,7.0,14
2,45.0,87.0,1
3,15.0,47.0,16
4,39.0,75.0,23
5,55.0,23.0,12
6,29.0,71.0,6
7,87.0,79.0,5
8,75.0,63.0,1
9,65.0,61.0,13
10,73.0,35.0,20
11,17.0,35.0,14
12,39.0,99.0,18
13,75.0,77.0,7
14,49.0,37.0,8
15,85.0,31.0,21
16,89.0,71.0,8
17,89.0,43.0,24
18,79.0,81.0,20
19,45.0,5.0,19
20,93.0,69.0,13
21,49.0,69.0,3
22,63.0,25.0,26
23,93.0,33.0,17
24,39.0,45.0,22
25,89.0,33.0,8
26,47.0,77.0,16
27,29.0,19.0,20
28,13.0,65.0,12
29,33.0,9.0,22
30,63.0,9.0,20
31,41.0,13.0,12
32,67.0,75.0,14
33,41.0,27.0,25
34,49.0,77.0,17
35,57.0,81.0,19
36,45.0,5.0,20
37,83.0,7.0,15
38,81.0,61.0,2
39,57.0,81.0,9
40,93.0,89.0,10
41,17.0,13.0,6
42,89.0,27.0,11
43,7.0,25.0,21
44,35.0,35.0,24
