node,x,y,demand
0,39.0,19.0,0
1,79.0,19.0,18
2,41.0,79.0,16
3,25.0,31.0,22
4,63.0,93.0,24
5,33.0,5.0,3
6,69.0,17.0,19
7,57.0,73.0,6
8,53.0,75.0,6
9,1.0,1.0,6
10,79.0,73.0,12
11,59.0,5.0,18
12,1.0,37.0,16
13,41.0,31.0,72
14,23.0,73.0,7
15,37.0,27.0,16
16,85.0,93.0,23
17,93.0,13.0,4
18,85.0,45.0,22
19,49.0,91.0,23
20,55.0,43.0,7
21,83.0,29.0,11
22,93.0,49.0,11
23,87.0,23.0,1
24,31.0,23.0,22
25,19.0,97.0,16
26,41.0,9.0,15
27,83.0,61.0,7
28,9.0,7.0,5
29,13.0,13.0,22
30,43.0,37.0,9
31,13.0,61.0,10
32,71.0,51.0,11
33,45.0,93.0,9
34,93.0,55.0,3
35,5.0,97.0,7
36,81.0,11.0,15
37,7.0,53.0,10
38,7.0,41.0,2
