node,x,y,demand
0,42.0,68.0,0
1,77.0,97.0,5
2,28.0,64.0,23
3,77.0,39.0,14
4,32.0,33.0,13
5,32.0,8.0,8
6,42.0,92.0,18
7,8.0,3.0,19
8,7.0,14.0,10
9,82.0,17.0,18
10,48.0,13.0,20
11,53.0,82.0,5
12,39.0,27.0,9
13,7.0,24.0,23
14,67.0,98.0,9
15,54.0,52.0,18
16,72.0,43.0,10
17,73.0,3.0,24
18,59.0,77.0,13
19,58.0,97.0,14
20,23.0,43.0,8
21,68.0,98.0,10
22,47.0,62.0,19
23,52.0,72.0,14
24,32.0,88.0,13
25,39.0,7.0,14
26,17.0,8.0,2
27,38.0,7.0,23
28,58.0,74.0,15
29,82.0,67.0,8
30,42.0,7.0,20
31,68.0,82.0,24
32,7.0,48.0,3
