node,x,y,demand
0,86.0,22.0,0
1,29.0,17.0,1
2,4.0,50.0,23
3,25.0,13.0,23
4,67.0,37.0,5
5,13.0,7.0,7
6,62.0,15.0,18
7,84.0,38.0,12
8,34.0,3.0,20
9,19.0,45.0,19
10,42.0,76.0,19
11,40.0,86.0,16
12,25.0,94.0,2
13,63.0,57.0,26
14,75.0,24.0,13
15,61.0,85.0,19
16,87.0,38.0,17
17,54.0,39.0,14
18,66.0,34.0,8
19,46.0,39.0,10
20,47.0,17.0,5
21,21.0,54.0,19
22,19.0,83.0,12
23,1.0,82.0,9
24,94.0,28.0,18
25,82.0,72.0,4
26,41.0,59.0,20
27,100.0,77.0,8
28,1.0,57.0,3
29,96.0,7.0,18
30,57.0,82.0,26
31,47.0,38.0,21
32,68.0,89.0,21
33,16.0,36.0,8
34,51.0,38.0,19
35,83.0,74.0,66
36,84.0,2.0,21
