node,x,y,demand
0,61.0,5.0,0
1,85.0,53.0,24
2,17.0,57.0,9
3,49.0,93.0,15
4,69.0,11.0,17
5,87.0,15.0,2
6,49.0,39.0,19
7,87.0,23.0,10
8,19.0,83.0,17
9,69.0,87.0,20
10,69.0,43.0,16
11,49.0,67.0,8
12,17.0,61.0,12
13,45.0,61.0,3
14,21.0,53.0,23
15,71.0,37.0,4
16,53.0,23.0,23
17,77.0,63.0,20
18,89.0,7.0,2
19,21.0,83.0,19
20,77.0,25.0,2
21,85.0,95.0,23
22,43.0,93.0,23
23,75.0,25.0,5
24,1.0,43.0,12
25,7.0,7.0,15
26,81.0,69.0,9
27,23.0,57.0,13
28,81.0,15.0,18
29,77.0,35.0,16
30,49.0,3.0,7
31,21.0,93.0,6
32,41.0,37.0,2
33,71.0,91.0,8
34,31.0,13.0,2
35,69.0,33.0,2
36,91.0,47.0,4
37,13.0,69.0,13
38,65.0,75.0,18
39,91.0,27.0,9
40,9.0,85.0,19
41,15.0,19.0,3
42,7.0,37.0,14
43,61.0,11.0,19
44,59.0,83.0,21
45,85.0,69.0,4
46,15.0,29.0,6
47,1.0,13.0,22
48,1.0,83.0,13
49,85.0,31.0,10
50,95.0,25.0,18
51,5.0,33.0,5
52,51.0,11.0,9
53,51.0,85.0,36
