node,x,y,demand
0,27.0,93.0,0
1,33.0,27.0,16
2,29.0,39.0,2
3,7.0,81.0,7
4,1.0,59.0,11
5,49.0,9.0,9
6,21.0,53.0,17
7,79.0,89.0,21
8,81.0,83.0,23
9,85.0,11.0,10
10,45.0,9.0,6
11,7.0,65.0,19
12,95.0,27.0,18
13,81.0,85.0,20
14,37.0,81.0,13
15,69.0,69.0,5
16,15.0,95.0,11
17,89.0,75.0,24
18,33.0,93.0,2
19,57.0,83.0,3
20,11.0,95.0,1
21,3.0,57.0,5
22,45.0,11.0,20
23,43.0,61.0,23
24,35.0,43.0,24
25,19.0,83.0,18
26,83.0,69.0,19
27,85.0,77.0,2
28,19.0,39.0,17
29,83.0,87.0,17
30,1.0,13.0,9
31,15.0,39.0,11
32,83.0,17.0,2
33,41.0,97.0,6
34,31.0,61.0,9
35,59.0,69.0,5
36,29.0,15.0,9
37,93.0,83.0,2
38,63.0,97.0,14
39,65.0,57.0,19
40,15.0,69.0,11
41,31.0,97.0,21
42,57.0,9.0,20
43,85.0,37.0,21
44,21.0,29.0,18
45,53.0,11.0,48
46,15.0,77.0,1
47,41.0,69.0,17
48,45.0,17.0,42
49,13.0,25.0,2
50,63.0,57.0,4
51,95.0,5.0,24
52,55.0,91.0,18
53,3.0,31.0,21
54,47.0,7.0,11
55,61.0,69.0,9
56,85.0,35.0,18
57,89.0,81.0,22
58,45.0,47.0,9
59,65.0,93.0,23
