node,x,y,demand
0,14.0,68.0,0
1,73.0,2.0,8
2,13.0,47.0,24
3,37.0,44.0,9
4,34.0,63.0,19
5,58.0,98.0,9
6,33.0,42.0,18
7,18.0,98.0,9
8,24.0,79.0,14
9,17.0,28.0,3
10,72.0,67.0,14
11,78.0,63.0,8
12,42.0,48.0,8
13,1.0,2.0,13
14,2.0,28.0,18
15,32.0,82.0,4
16,97.0,38.0,24
17,39.0,53.0,14
18,87.0,1.0,8
19,42.0,77.0,18
20,83.0,27.0,13
21,79.0,92.0,2
22,22.0,39.0,9
23,58.0,32.0,18
24,53.0,84.0,3
25,38.0,37.0,24
26,63.0,59.0,8
27,42.0,88.0,24
28,32.0,88.0,14
29,38.0,23.0,13
30,63.0,32.0,24
31,22.0,73.0,23
32,88.0,94.0,9
33,58.0,78.0,13
34,43.0,62.0,14
35,73.0,1.0,14
36,17.0,32.0,18
37,87.0,79.0,24
38,12.0,24.0,4
39,48.0,53.0,8
40,48.0,23.0,13
41,7.0,37.0,4
42,98.0,77.0,14
43,34.0,12.0,18
