node,x,y,demand
0,36.0,64.0,0
1,94.0,47.0,3
2,10.0,23.0,12
3,16.0,46.0,25
4,25.0,79.0,4
5,41.0,30.0,11
6,81.0,45.0,20
7,14.0,79.0,21
8,42.0,56.0,10
9,90.0,17.0,20
10,41.0,39.0,13
11,21.0,14.0,14
12,41.0,46.0,16
13,65.0,96.0,17
14,13.0,49.0,11
15,21.0,14.0,36
16,57.0,2.0,6
17,14.0,42.0,7
18,66.0,62.0,21
19,58.0,96.0,11
20,5.0,51.0,17
21,41.0,50.0,22
22,50.0,99.0,10
23,84.0,85.0,19
24,97.0,90.0,21
25,47.0,76.0,23
26,11.0,54.0,19
27,60.0,97.0,15
28,60.0,89.0,22
29,58.0,68.0,7
30,30.0,93.0,11
31,9.0,60.0,15
32,47.0,44.0,22
33,19.0,40.0,12
34,15.0,40.0,24
35,88.0,21.0,25
36,33.0,58.0,2
37,21.0,51.0,15
38,57.0,7.0,18
39,81.0,6.0,13
40,49.0,6.0,3
41,51.0,78.0,20
42,9.0,62.0,14
43,84.0,36.0,10
44,95.0,76.0,10
45,89.0,44.0,66
46,10.0,49.0,10
47,69.0,16.0,7
48,75.0,66.0,12
49,97.0,11.0,24
50,74.0,69.0,5
51,1.0,14.0,18
52,96.0,91.0,7
53,46.0,22.0,11
54,74.0,92.0,12
