node,x,y,demand
0,15.0,19.0,0
1,1.0,49.0,1
2,87.0,25.0,14
3,69.0,65.0,15
4,93.0,91.0,11
5,33.0,31.0,18
6,71.0,61.0,2
7,29.0,9.0,22
8,93.0,7.0,7
9,55.0,47.0,18
10,23.0,13.0,23
11,19.0,47.0,12
12,57.0,63.0,21
13,5.0,95.0,2
14,65.0,43.0,14
15,69.0,1.0,9
16,3.0,25.0,10
17,19.0,91.0,4
18,21.0,81.0,19
19,67.0,91.0,2
20,41.0,23.0,20
21,19.0,75.0,15
22,15.0,79.0,11
23,79.0,47.0,6
24,19.0,65.0,13
25,27.0,49.0,19
26,29.0,17.0,13
27,25.0,65.0,8
28,59.0,51.0,15
29,27.0,95.0,18
30,21.0,91.0,11
31,61.0,83.0,21
32,15.0,83.0,12
33,31.0,87.0,2
34,71.0,41.0,23
35,91.0,21.0,11
