node,x,y,demand
0,38.0,46.0,0
1,59.0,46.0,16
2,96.0,42.0,18
3,47.0,61.0,1
4,26.0,15.0,13
5,66.0,6.0,8
6,96.0,7.0,23
7,37.0,25.0,7
8,68.0,92.0,27
9,78.0,84.0,1
10,82.0,28.0,3
11,93.0,90.0,6
12,74.0,42.0,24
13,60.0,20.0,19
14,78.0,58.0,2
15,36.0,48.0,5
16,45.0,36.0,16
17,73.0,57.0,7
18,10.0,91.0,4
19,98.0,51.0,22
20,92.0,62.0,7
21,43.0,42.0,23
22,53.0,25.0,16
23,78.0,65.0,2
24,72.0,79.0,2
25,37.0,88.0,9
26,16.0,73.0,2
27,75.0,96.0,12
28,11.0,66.0,1
29,9.0,49.0,9
30,25.0,72.0,23
31,8.0,68.0,6
32,12.0,61.0,19
33,50.0,2.0,7
34,26.0,54.0,7
35,18.0,89.0,20
36,22.0,53.0,20
