node,x,y,demand
0,47.0,5.0,0
1,1.0,19.0,20
2,97.0,35.0,14
3,23.0,79.0,5
4,77.0,87.0,11
5,3.0,9.0,22
6,5.0,27.0,25
7,41.0,53.0,2
8,51.0,87.0,18
9,67.0,73.0,10
10,89.0,45.0,26
11,71.0,99.0,14
12,11.0,1.0,22
13,85.0,85.0,9
14,57.0,11.0,11
15,57.0,85.0,18
16,71.0,33.0,24
17,61.0,13.0,15
18,39.0,15.0,23
19,13.0,59.0,16
20,43.0,99.0,14
21,87.0,73.0,8
22,11.0,37.0,5
23,21.0,11.0,12
24,77.0,81.0,8
25,3.0,63.0,16
26,47.0,95.0,12
27,53.0,75.0,15
28,73.0,55.0,9
29,81.0,71.0,2
30,89.0,75.0,10
31,11.0,9.0,2
32,27.0,37.0,3
33,95.0,59.0,20
34,63.0,63.0,3
35,37.0,21.0,13
36,33.0,47.0,25
37,23.0,63.0,23
38,13.0,55.0,8
39,47.0,93.0,16
40,45.0,43.0,9
41,83.0,7.0,14
42,69.0,91.0,4
43,13.0,11.0,13
44,37.0,15.0,7
45,53.0,59.0,16
46,97.0,83.0,18
47,75.0,31.0,16
