node,x,y,demand
0,97.0,33.0,0
1,57.0,81.0,10
2,1.0,33.0,15
3,55.0,57.0,23
4,29.0,37.0,23
5,21.0,39.0,24
6,93.0,37.0,17
7,5.0,91.0,1
8,25.0,11.0,4
9,47.0,37.0,2
10,87.0,25.0,5
11,67.0,65.0,18
12,71.0,89.0,9
13,67.0,15.0,8
14,45.0,79.0,23
15,71.0,57.0,13
16,29.0,1.0,4
17,59.0,79.0,18
18,93.0,83.0,16
19,47.0,41.0,26
20,51.0,41.0,16
21,23.0,93.0,4
22,87.0,95.0,23
23,39.0,45.0,8
24,45.0,7.0,26
25,85.0,51.0,16
26,35.0,93.0,5
27,47.0,79.0,2
28,59.0,91.0,21
29,83.0,51.0,23
30,49.0,65.0,8
31,21.0,55.0,5
32,51.0,21.0,8
33,69.0,43.0,26
34,37.0,41.0,12
35,37.0,95.0,8
36,5.0,71.0,3
37,37.0,47.0,8
38,83.0,73.0,19
39,17.0,71.0,16
40,5.0,71.0,2
41,81.0,17.0,3
42,59.0,33.0,17
43,63.0,87.0,7
44,21.0,77.0,5
45,71.0,51.0,8
46,21.0,17.0,4
47,9.0,7.0,12
48,65.0,43.0,19
49,25.0,63.0,19
50,13.0,57.0,26
51,47.0,43.0,24
52,77.0,9.0,5
53,57.0,55.0,8
54,21.0,33.0,22
55,27.0,59.0,9
56,83.0,9.0,18
57,63.0,69.0,19
58,9.0,35.0,15
59,25.0,55.0,5
60,33.0,3.0,11
61,53.0,11.0,12
62,51.0,49.0,54
63,9.0,23.0,8
