node,x,y,demand
0,92.0,92.0,0
1,88.0,58.0,24
2,70.0,6.0,22
3,57.0,59.0,23
4,0.0,98.0,5
5,61.0,38.0,11
6,65.0,22.0,23
7,91.0,52.0,26
8,59.0,2.0,9
9,3.0,54.0,23
10,95.0,38.0,9
11,80.0,28.0,14
12,66.0,42.0,16
13,79.0,74.0,12
14,99.0,25.0,2
15,20.0,43.0,2
16,40.0,3.0,6
17,50.0,42.0,20
18,97.0,0.0,26
19,21.0,19.0,12
20,36.0,21.0,15
21,100.0,61.0,13
22,11.0,85.0,26
23,69.0,35.0,17
24,69.0,22.0,7
25,29.0,35.0,12
26,14.0,9.0,4
27,50.0,33.0,4
28,89.0,17.0,20
29,57.0,44.0,10
30,60.0,25.0,9
31,48.0,42.0,2
32,17.0,93.0,9
33,21.0,50.0,1
34,77.0,18.0,2
35,2.0,4.0,2
36,63.0,83.0,12
37,68.0,6.0,14
38,41.0,95.0,23
39,48.0,54.0,21
40,98.0,73.0,13
41,26.0,38.0,13
42,69.0,76.0,23
43,40.0,1.0,3
44,65.0,41.0,6
45,14.0,86.0,23
46,32.0,39.0,11
47,14.0,24.0,2
48,96.0,5.0,7
49,82.0,98.0,13
50,23.0,85.0,10
51,63.0,69.0,3
52,87.0,19.0,6
53,56.0,75.0,13
54,15.0,63.0,2
55,10.0,45.0,14
56,7.0,30.0,7
57,31.0,11.0,21
58,36.0,93.0,7
59,50.0,31.0,22
60,49.0,52.0,13
61,39.0,10.0,22
62,76.0,40.0,18
63,83.0,34.0,22
64,33.0,51.0,6
65,0.0,15.0,2
66,52.0,82.0,11
67,52.0,82.0,5
68,46.0,6.0,9
69,3.0,26.0,9
70,46.0,80.0,5
71,94.0,30.0,12
72,26.0,76.0,2
73,75.0,92.0,12
74,57.0,51.0,19
75,34.0,21.0,6
76,28.0,80.0,14
77,59.0,66.0,2
78,51.0,16.0,2
79,87.0,11.0,24
