node,x,y,demand
0,24.0,63.0,0
1,35.0,60.0,2
2,79.0,46.0,12
3,3.0,45.0,14
4,42.0,50.0,2
5,3.0,40.0,17
6,29.0,96.0,20
7,47.0,30.0,2
8,54.0,77.0,26
9,36.0,30.0,7
10,83.0,86.0,24
11,30.0,6.0,23
12,55.0,29.0,13
13,13.0,2.0,25
14,1.0,19.0,20
15,98.0,1.0,3
16,75.0,10.0,18
17,39.0,23.0,23
18,62.0,91.0,6
19,96.0,9.0,2
20,27.0,87.0,13
21,14.0,16.0,22
22,52.0,49.0,3
23,95.0,21.0,6
24,30.0,6.0,7
25,18.0,40.0,1
26,82.0,90.0,18
27,50.0,79.0,18
28,48.0,49.0,10
29,82.0,73.0,2
30,64.0,62.0,9
31,34.0,78.0,10
32,83.0,6.0,8
33,3.0,77.0,30
34,18.0,8.0,16
35,53.0,86.0,23
36,88.0,51.0,2
37,77.0,51.0,18
38,58.0,89.0,22
39,12.0,44.0,1
40,70.0,88.0,8
41,36.0,17.0,4
42,85.0,23.0,26
43,93.0,30.0,21
44,68.0,67.0,2
45,71.0,34.0,15
46,56.0,73.0,25
47,37.0,37.0,22
48,78.0,20.0,19
49,88.0,69.0,3
50,95.0,42.0,3
51,44.0,71.0,5
52,18.0,1.0,13
