node,x,y,demand
0,61.0,37.0,0
1,93.0,57.0,23
2,15.0,67.0,17
3,23.0,43.0,12
4,53.0,5.0,6
5,13.0,75.0,22
6,29.0,73.0,3
7,47.0,37.0,24
8,23.0,71.0,24
9,67.0,45.0,11
10,21.0,49.0,7
11,93.0,43.0,12
12,67.0,13.0,8
13,69.0,25.0,14
14,53.0,35.0,20
15,25.0,39.0,16
16,85.0,69.0,16
17,81.0,27.0,4
18,77.0,79.0,9
19,45.0,43.0,18
20,31.0,75.0,14
21,49.0,99.0,10
22,63.0,9.0,19
23,47.0,37.0,22
24,33.0,47.0,19
25,39.0,69.0,9
26,49.0,3.0,18
27,49.0,87.0,2
28,87.0,39.0,18
29,37.0,91.0,11
30,19.0,33.0,19
31,97.0,35.0,18
32,31.0,5.0,15
33,35.0,25.0,4
34,79.0,61.0,12
35,73.0,73.0,8
36,35.0,95.0,18
37,5.0,43.0,12
38,19.0,45.0,72
39,71.0,39.0,2
40,35.0,63.0,5
41,27.0,73.0,14
42,31.0,21.0,11
43,47.0,9.0,19
44,87.0,45.0,16
45,1.0,49.0,19
46,1.0,77.0,3
47,63.0,73.0,12
48,79.0,71.0,10
49,21.0,55.0,20
50,65.0,23.0,7
51,65.0,47.0,13
52,97.0,23.0,16
53,23.0,71.0,23
54,5.0,81.0,22
55,53.0,27.0,18
56,57.0,85.0,6
57,89.0,23.0,12
58,51.0,65.0,27
59,13.0,49.0,9
60,91.0,41.0,15
