node,x,y,demand
0,76.0,75.0,0
1,60.0,14.0,11
2,46.0,5.0,20
3,91.0,14.0,26
4,70.0,95.0,17
5,86.0,31.0,5
6,20.0,0.0,17
7,41.0,55.0,1
8,21.0,15.0,15
9,46.0,1.0,16
10,95.0,45.0,22
11,16.0,89.0,2
12,41.0,1.0,22
13,60.0,94.0,25
14,55.0,25.0,20
15,71.0,41.0,20
16,39.0,35.0,21
17,61.0,70.0,26
18,80.0,36.0,12
19,100.0,26.0,5
20,65.0,85.0,11
21,40.0,51.0,5
22,19.0,71.0,21
23,34.0,50.0,17
24,36.0,61.0,12
25,69.0,50.0,12
26,61.0,94.0,15
27,19.0,11.0,21
28,51.0,91.0,12
29,61.0,54.0,2
30,76.0,90.0,17
31,41.0,75.0,16
32,35.0,100.0,15
33,1.0,40.0,26
34,15.0,91.0,12
35,21.0,11.0,22
36,79.0,81.0,16
37,34.0,36.0,21
38,74.0,99.0,16
39,75.0,14.0,2
40,65.0,54.0,6
41,55.0,10.0,2
42,100.0,6.0,6
43,99.0,91.0,10
44,25.0,86.0,11
45,75.0,16.0,1
46,30.0,45.0,63
47,21.0,85.0,10
48,75.0,80.0,21
49,71.0,35.0,7
50,56.0,81.0,1
51,25.0,76.0,6
52,85.0,76.0,26
53,60.0,34.0,17
54,41.0,44.0,10
55,6.0,55.0,25
56,60.0,54.0,25
57,40.0,96.0,25
58,20.0,71.0,16
59,94.0,45.0,5
60,31.0,41.0,22
61,40.0,49.0,17
62,56.0,80.0,6
