node,x,y,demand
0,31.0,73.0,0
1,11.0,67.0,19
2,52.0,96.0,2
3,81.0,29.0,12
4,97.0,62.0,20
5,71.0,5.0,6
6,6.0,56.0,17
7,48.0,50.0,8
8,91.0,17.0,14
9,49.0,68.0,2
10,85.0,29.0,8
11,11.0,16.0,5
12,74.0,98.0,7
13,56.0,37.0,22
14,13.0,81.0,14
15,66.0,80.0,17
16,96.0,55.0,23
17,36.0,17.0,15
18,32.0,23.0,21
19,6.0,13.0,2
20,64.0,30.0,24
21,87.0,5.0,10
22,75.0,61.0,20
23,40.0,72.0,6
24,1.0,44.0,21
25,60.0,95.0,10
26,27.0,49.0,6
27,15.0,33.0,13
28,46.0,53.0,21
29,28.0,43.0,24
30,3.0,9.0,11
31,1.0,100.0,16
32,53.0,46.0,8
33,98.0,8.0,11
34,6.0,25.0,11
35,7.0,81.0,22
36,96.0,88.0,17
37,2.0,35.0,22
38,32.0,94.0,17
39,95.0,94.0,8
40,9.0,11.0,23
41,96.0,16.0,5
42,90.0,68.0,3
43,33.0,31.0,18
44,6.0,59.0,12
