node,x,y,demand
0,9.0,35.0,0
1,43.0,19.0,5
2,79.0,35.0,24
3,93.0,7.0,3
4,13.0,35.0,20
5,67.0,13.0,26
6,31.0,77.0,23
7,81.0,7.0,15
8,27.0,49.0,3
9,27.0,35.0,20
10,69.0,23.0,16
11,31.0,51.0,9
12,27.0,27.0,21
13,15.0,83.0,3
14,7.0,35.0,24
15,53.0,25.0,14
16,75.0,13.0,6
17,47.0,49.0,6
18,25.0,33.0,13
19,1.0,23.0,5
20,45.0,11.0,3
21,1.0,47.0,3
22,93.0,15.0,20
23,41.0,9.0,16
24,75.0,55.0,22
25,3.0,1.0,10
26,51.0,67.0,12
27,57.0,91.0,20
28,21.0,97.0,24
29,55.0,13.0,6
30,3.0,71.0,1
31,37.0,19.0,2
32,73.0,21.0,13
33,19.0,19.0,7
34,75.0,73.0,6
35,93.0,49.0,24
36,41.0,87.0,19
37,97.0,73.0,4
38,45.0,29.0,7
