node,x,y,demand
0,69.0,63.0,0
1,3.0,35.0,12
2,71.0,79.0,5
3,1.0,47.0,8
4,11.0,15.0,12
5,87.0,23.0,18
6,37.0,33.0,12
7,87.0,29.0,11
8,35.0,81.0,19
9,55.0,71.0,23
10,41.0,51.0,8
11,93.0,9.0,25
12,11.0,49.0,1
13,75.0,89.0,5
14,75.0,69.0,17
15,97.0,95.0,13
16,15.0,13.0,9
17,63.0,95.0,13
18,47.0,41.0,19
19,45.0,41.0,5
20,89.0,43.0,26
21,45.0,59.0,9
22,95.0,23.0,20
23,19.0,83.0,21
24,71.0,69.0,8
25,27.0,19.0,12
26,17.0,57.0,13
27,93.0,15.0,12
28,59.0,29.0,4
29,35.0,39.0,19
30,33.0,51.0,25
31,61.0,21.0,7
32,89.0,53.0,3
33,33.0,85.0,2
34,37.0,37.0,24
35,21.0,91.0,13
36,67.0,95.0,14
37,61.0,15.0,14
