node,x,y,demand
0,91.0,93.0,0
1,7.0,5.0,4
2,27.0,91.0,18
3,21.0,47.0,22
4,33.0,11.0,14
5,19.0,99.0,5
6,59.0,25.0,9
7,69.0,79.0,7
8,11.0,73.0,20
9,21.0,35.0,19
10,59.0,45.0,7
11,99.0,81.0,18
12,71.0,47.0,20
13,53.0,83.0,2
14,87.0,1.0,11
15,79.0,67.0,10
16,59.0,65.0,5
17,67.0,21.0,21
18,27.0,1.0,20
19,81.0,93.0,1
20,59.0,89.0,15
21,95.0,23.0,15
22,73.0,25.0,14
23,41.0,25.0,19
24,3.0,65.0,22
25,59.0,83.0,21
26,83.0,97.0,22
27,5.0,83.0,6
28,71.0,35.0,24
29,37.0,97.0,14
30,29.0,93.0,14
31,19.0,21.0,2
32,83.0,13.0,15
33,97.0,67.0,21
34,31.0,83.0,15
35,65.0,17.0,6
36,19.0,63.0,23
37,59.0,23.0,14
38,17.0,25.0,26
39,45.0,27.0,15
40,89.0,7.0,15
41,19.0,41.0,23
42,23.0,39.0,7
43,23.0,21.0,22
44,83.0,61.0,26
45,11.0,93.0,20
46,17.0,11.0,3
47,35.0,11.0,2
48,21.0,59.0,15
49,21.0,69.0,2
50,71.0,13.0,21
51,63.0,13.0,12
52,49.0,21.0,4
53,83.0,31.0,10
54,41.0,97.0,23
55,85.0,15.0,4
56,77.0,73.0,24
57,57.0,1.0,17
58,83.0,11.0,2
59,1.0,75.0,20
60,45.0,71.0,18
61,41.0,55.0,19
62,45.0,13.0,8
